source_token,source_lemma,target_rendering,block_id
ལེགས་པར,ལེགས་པར,彻底,1-2
ཕམ་མཛད,ཕམ་མཛད,降伏,1-2
རྫོགས་པའི་སངས་རྒྱས,རྫོགས་པའི་སངས་རྒྱས,圆满正觉,1-2
གང་བརྙེས,གང་བརྙེས,所证得者,1-2
དེ་ལ,དེ་ལ,于彼,1-2
མགོས,མགོས,以头,1-2
ཕྱག་འཚལ,ཕྱག་འཚལ,顶礼叩首,1-2
ཁྱོད,ཁྱོད,您,1-3
གཞན་གྱི་དོན་སླད་དུ,གཞན་གྱི་དོན་སླད་དུ,为利益众生,1-3
བསམ,བསམ,意乐,1-3
དང་,དང་,与,1-3
སྦྱོར་བ,སྦྱོར་བ,加行,1-3
ཕུན་ཚོགས་པས,ཕུན་ཚོགས་པས,圆满,1-3
བྱང་ཆུབ་དམ་པར,བྱང་ཆུབ་དམ་པར,殊胜菩提,1-3
ཐུགས,ཐུགས,心,1-3
བསྐྱེད,བསྐྱེད,发起,1-3
ཚེ,ཚེ,之时,1-3
ས,ས,大地,1-3
ཡང,ཡང,亦,1-3
རྣམ་པ་དྲུག་ཏུ,རྣམ་པ་དྲུག་ཏུ,六种,1-3
གཡོས,གཡོས,震动,1-3
སྦྱིན,སྦྱིན,布施,1-4
དང་,དང་,与,1-4
ཚུལ་ཁྲིམས,ཚུལ་ཁྲིམས,持戒,1-4
ལེགས་བསྒྲུབས,ལེགས་བསྒྲུབས,圆满修持,1-4
བཟོད,བཟོད,忍辱,1-4
དང་,དང་,与,1-4
བརྩོན་འགྲུས,བརྩོན་འགྲུས,精进,1-4
གོམས་པར་མཛད,གོམས་པར་མཛད,熟习,1-4
བསམ་གཏན,བསམ་གཏན,禅定,1-4
ཤེས་རབ,ཤེས་རབ,智慧,1-4
མཐར་ཕྱིན་པས,མཐར་ཕྱིན་པས,皆达究竟,1-4
ཕ་རོལ་ཕྱིན་རྫོགས,ཕ་རོལ་ཕྱིན་རྫོགས,圆满波罗蜜多,1-4
ཁྱོད,ཁྱོད,您,1-4
ཕྱག་འཚལ,ཕྱག་འཚལ,顶礼,1-4
འགྲོ་མགོན,འགྲོ་མགོན,护世者,1-5
དང་པོ,དང་པོ,最初,1-5
བལྟམས་པ་ན,བལྟམས་པ་ན,降生之时,1-5
འཇིག་རྟེན,འཇིག་རྟེན,世间,1-5
མཁས་པ,མཁས་པ,智者,1-5
ཐམས་ཅད,ཐམས་ཅད,一切,1-5
དགའ,དགའ,欢喜,1-5
བདུད་རྣམས,བདུད་རྣམས,魔众,1-5
ཤིན་ཏུ,ཤིན་ཏུ,极度,1-5
དོགས་པ་སྐྱེས,དོགས་པ་སྐྱེས,生起忧惧,1-5
མུ་སྟེགས་བྱེད་པ,མུ་སྟེགས་བྱེད་པ,外道行者,1-5
མཐའ་དག,མཐའ་དག,尽皆,1-5
སྐྲག,སྐྲག,战栗,1-5
དེ་སླད,དེ་སླད,因此,1-6
ཁྱོད་ཀྱི,ཁྱོད་ཀྱི,您的,1-6
བསྟན་པ,བསྟན་པ,教法,1-6
ཉི་མའི་འོད,ཉི་མའི་འོད,日光,1-6
བཞིན,བཞིན,般,1-6
ཕྲིན་ལས,ཕྲིན་ལས,事业,1-6
མངའ,མངའ,普照,1-6
རྣམ་པ་ཀུན་ཏུ,རྣམ་པ་ཀུན་ཏུ,于一切时处,1-6
མི་བསླུ་བའི,མི་བསླུ་བའི,不欺诳,1-6
རྩ་ལག,རྩ་ལག,亲友,1-6
ཁྱོད་ལ,ཁྱོད་ལ,您,1-6
བདག,བདག,我,1-6
སྐྱབས་མཆི,སྐྱབས་མཆི,皈依,1-6
ཁྱོད་ཀྱི,ཁྱོད་ཀྱི,您的,1-7
གསུང་རབ,གསུང་རབ,圣教,1-7
སེངྒེའི་སྒྲ,སེངྒེའི་སྒྲ,如狮子吼,1-7
ལྷར་བཅས,ལྷར་བཅས,包含天界,1-7
འཇིག་རྟེན,འཇིག་རྟེན,世间,1-7
བསྒྲགས་པ་ན,བསྒྲགས་པ་ན,宣说时,1-7
ཚངས,ཚངས,梵天,1-7
དང་,དང་,与,1-7
ཁྱབ་འཇུག,ཁྱབ་འཇུག,毗湿奴,1-7
ལྐུགས་པར་གྱུར,ལྐུགས་པར་གྱུར,变得哑口无言,1-7
ལྷ་ཡི་བླ་མ,ལྷ་ཡི་བླ་མ,天人之师,1-7
ཝ་ལྟར,ཝ་ལྟར,如犬般,1-7
ཞུམ,ཞུམ,畏缩,1-7
ཐུབ་པ,ཐུབ་པ,牟尼,1-8
རྐང་མིག,རྐང་མིག,足目,1-8
གྲོག་མཁར,གྲོག་མཁར,蚁穴,1-8
དང་,དང་,与,1-8
དྲང་སྲོང་རྒྱས་པ,དྲང་སྲོང་རྒྱས་པ,仙人广博,1-8
གནས་འཇོག,གནས་འཇོག,处所,1-8
སོགས,སོགས,等,1-8
གྲགས་པ,གྲགས་པ,名望,1-8
ཐོབ་པ,ཐོབ་པ,获得,1-8
དེ་དག་ཀུན,དེ་དག་ཀུན,所有这些,1-8
ཆོས་ཀྱིས,ཆོས་ཀྱིས,以正法,1-8
ཕམ་མཛད,ཕམ་མཛད,折服,1-8
ཁྱོད་ལ,ཁྱོད་ལ,您,1-8
འདུད,འདུད,顶礼,1-8
ཁྱོད་ཀྱིས,ཁྱོད་ཀྱིས,您,1-9
བྱང་ཆུབ་མཆོག,བྱང་ཆུབ་མཆོག,无上菩提,1-9
བརྙེས་ནས,བརྙེས་ནས,证得之后,1-9
འགྲོ་བའི་དོན,འགྲོ་བའི་དོན,利益众生,1-9
མཛད,མཛད,行迹,1-9
ངོ་མཚར་ཆེ,ངོ་མཚར་ཆེ,甚为稀有,1-9
སྲིད་པའི་སྲེད,སྲིད་པའི་སྲེད,三有贪爱,1-9
ལས,ལས,从,1-9
མ་གྲོལ་བར,མ་གྲོལ་བར,尚未解脱之时,1-9
སྐུ་སྲོག,སྐུ་སྲོག,身命,1-9
བཏང་བས,བཏང་བས,舍弃,1-9
བ་སྤུ་ལྡང,བ་སྤུ་ལྡང,汗毛竖立,1-9
ཉིད་ཀྱི་སྐུ་སྲོག,ཉིད་ཀྱི་སྐུ་སྲོག,自身之性命,1-10
མི་གཟིགས་པར,མི་གཟིགས་པར,不顾,1-10
ཁྱེད་ལ,ཁྱེད་ལ,于众生,1-10
ཕན་པར་བྱའོ,ཕན་པར་བྱའོ,利益誓愿,1-10
མགོན་མེད,མགོན་མེད,无依,1-10
བདག་ཅག,བདག་ཅག,我等,1-10
རྗེས་གཟུང་བ,རྗེས་གཟུང་བ,摄受,1-10
མགོན་པོ,མགོན་པོ,护主,1-10
ཁྱོད་ལ,ཁྱོད་ལ,您,1-10
བདག,བདག,我,1-10
སྐྱབས་མཆི,སྐྱབས་མཆི,皈依,1-10
རྒྱལ་བས,རྒྱལ་བས,胜者,1-11
བདུད་སྡེ,བདུད་སྡེ,魔军,1-11
བཏུལ་བ,བཏུལ་བ,降伏,1-11
དང་,དང་,与,1-11
མུ་སྟེགས,མུ་སྟེགས,外道,1-11
མ་ལུས,མ་ལུས,无余,1-11
ཕམ་མཛད,ཕམ་མཛད,折服,1-11
དང་,དང་,与,1-11
ཉན་ཐོས,ཉན་ཐོས,声闻,1-11
སློབ་མ,སློབ་མ,徒,1-11
གྲངས་མེད,གྲངས་མེད,无量,1-11
བཀྲོལ,བཀྲོལ,解脱,1-11
རྒྱལ་སྲས་དམ་པ,རྒྱལ་སྲས་དམ་པ,殊胜佛子,1-11
ལུང་བསྟན་མཛད,ལུང་བསྟན་མཛད,授记,1-11
དེ་འདྲའི,དེ་འདྲའི,此种种,1-12
ལེགས་ཚོགས,ལེགས་ཚོགས,功德,1-12
མཐོང་བ་རྣམས,མཐོང་བ་རྣམས,见者,1-12
ཁྱོད་ཀྱི་ཡོན་ཏན,ཁྱོད་ཀྱི་ཡོན་ཏན,您的功德,1-12
དོན་གཉེར་བས,དོན་གཉེར་བས,渴求故,1-12
བྱང་ཆུབ,བྱང་ཆུབ,菩提,1-12
སླད་དུ,སླད་དུ,为,1-12
འཇུག་པ,འཇུག་པ,趋入,1-12
བདག,བདག,我,1-12
སླར་ཡང,སླར་ཡང,再次,1-12
ཁྱོད་ལ,ཁྱོད་ལ,于您,1-12
བདག,བདག,我,1-12
སྐྱབས་མཆི,སྐྱབས་མཆི,皈依,1-12
ཁྱོདཀྱི་སྲས,ཁྱོདཀྱི་སྲས,您的佛子,1-13
ནི,ནི,是,1-13
འཇམ་པའི་དབྱངས,འཇམ་པའི་དབྱངས,文殊师利,1-13
སློབ་མ,སློབ་མ,弟子,1-13
ཤ་ར་དྭ་ཏིའི་བུ,ཤ་ར་དྭ་ཏིའི་བུ,舍利弗尊者,1-13
བྱམས་པ,བྱམས་པ,弥勒,1-13
རྒྱལ་ཚབ་དམ་པར,རྒྱལ་ཚབ་དམ་པར,殊胜法王,1-13
མཛད,མཛད,立为,1-13
སེམསཤེས་སུ,སེམསཤེས་སུ,谁人,1-13
ཞིག,ཞིག,对此,1-13
ཐེ་ཚོམ་ཟ,ཐེ་ཚོམ་ཟ,生怀疑,1-13
ཁྱོད་ཀྱི་ཡོན་ཏན,ཁྱོད་ཀྱི་ཡོན་ཏན,您的功德,1-14
སྨོས་ཅི་འཚལ,སྨོས་ཅི་འཚལ,何须再多言,1-14
སྲས་ཀྱི་ཡོན་ཏན,སྲས་ཀྱི་ཡོན་ཏན,佛子功德,1-14
མཐོང་བས,མཐོང་བས,见而,1-14
འཁུམས,འཁུམས,惊叹,1-14
སྐྱ་རེངསཤར་བའི,སྐྱ་རེངསཤར་བའི,黎明升起,1-14
གཟི་བརྗིད་ཀྱིས,གཟི་བརྗིད་ཀྱིས,光辉,1-14
པདྨོའི་གཉེན་གྱི,པདྨོའི་གཉེན་གྱི,莲花之友,1-14
འོད་ཟེར,འོད་ཟེར,光芒,1-14
གོ,གོ,正是,1-14
ཇི་ལྟ་བ,ཇི་ལྟ་བ,如所有性,1-15
དང་,དང་,与,1-15
ཇི་སྙེད,ཇི་སྙེད,尽所有,1-15
ཆོས,ཆོས,诸法,1-15
ཁྱོད་ཀྱིས,ཁྱོད་ཀྱིས,您,1-15
རྣམ་པ་ཀུན,རྣམ་པ་ཀུན,一切相,1-15
བརྙེས་པས,བརྙེས་པས,圆满证得,1-15
བཞེད་པའི,བཞེད་པའི,所愿之,1-15
ཕྲིན་ལས,ཕྲིན་ལས,事业,1-15
དོན་བཞིན་དུ,དོན་བཞིན་དུ,随顺义,1-15
གྲུབ་པ,གྲུབ་པ,成就者,1-15
ཁྱོད་ལ,ཁྱོད་ལ,于您,1-15
བདག,བདག,我,1-15
ཕྱག་འཚལ,ཕྱག་འཚལ,顶礼,1-15
དེ་ལྟར,དེ་ལྟར,如是,1-16
འགྲོ་བའི་བླ་མ,འགྲོ་བའི་བླ་མ,众生导师,1-16
ཤཱཀྱའི་རིགས,ཤཱཀྱའི་རིགས,释迦族,1-16
བུ་རམ་ཤིང་པའི་གདུང་རྒྱུད,བུ་རམ་ཤིང་པའི་གདུང་རྒྱུད,甘蔗王室之传承,1-16
ལས,ལས,从,1-16
འཁྲུངས་པ,འཁྲུངས་པ,生于,1-16
བཅོམ་ལྡན,བཅོམ་ལྡན,世尊,1-16
རྫོགས་པའི་སངས་རྒྱས,རྫོགས་པའི་སངས་རྒྱས,圆满佛,1-16
བསྟོད་པ་ཡིས,བསྟོད་པ་ཡིས,以此赞颂,1-16
འགྲོ་བས,འགྲོ་བས,众,1-16
ཀུན་མཁྱེན,ཀུན་མཁྱེན,一切遍智,1-16
མྱུར་དུ,མྱུར་དུ,速,1-16
ཐོབ་པར་ཤོག,ཐོབ་པར་ཤོག,愿证得,1-16
ཆོས་སྐུ,ཆོས་སྐུ,法身,2-1
ཤེར་ཕྱིན,ཤེར་ཕྱིན,般若,2-1
བཅོམ་ལྡན,བཅོམ་ལྡན,佛母,2-1
ཀུན་བཟང་མོ,ཀུན་བཟང་མོ,普贤女,2-1
ལོངས་སྤྱོད་ཡོངས་རྫོགས,ལོངས་སྤྱོད་ཡོངས་རྫོགས,圆满报身,2-1
བཛྲ་ཝཱ་ར་ཧི,བཛྲ་ཝཱ་ར་ཧི,金刚亥母,2-1
སྤྲུལ་པའི་རྣམ་རོལ,སྤྲུལ་པའི་རྣམ་རོལ,化身游舞,2-1
རྗེ་བཙུན་སྒྲོལ་མ,རྗེ་བཙུན་སྒྲོལ་མ,圣救度母,2-1
ཡུམ,ཡུམ,母,2-1
གསོལ་བ་འདེབས་སོ,གསོལ་བ་འདེབས་སོ,祈请,2-1
མཆོག་ཐུན,མཆོག་ཐུན,殊胜共,2-1
དངོས་གྲུབ,དངོས་གྲུབ,成就,2-1
སྩོལ,སྩོལ,赐予,2-1
སངས་རྒྱས་གཉིས་པ,སངས་རྒྱས་གཉིས་པ,第二佛陀,2-2
པདྨ་ཀཱ་ར,པདྨ་ཀཱ་ར,莲花生大士,2-2
དང,དང,与,2-2
གསང་སྔགས་མཛོད་འཛིན,གསང་སྔགས་མཛོད་འཛིན,密咒藏主,2-2
ཌཱ་ཀི་འབུམ་གྱི་རྗེ,ཌཱ་ཀི་འབུམ་གྱི་རྗེ,十万空行主,2-2
བྱང་ཆུབ་སེམས་དཔའ,བྱང་ཆུབ་སེམས་དཔའ,菩萨,2-2
ལྷ་སྲས,ལྷ་སྲས,神子,2-2
རོལ་པ་རྩལ,རོལ་པ་རྩལ,罗白匝,2-2
གསོལ་བ་འདེབས་སོ,གསོལ་བ་འདེབས་སོ,祈请,2-2
མཆོག་ཐུན,མཆོག་ཐུན,殊胜共,2-2
དངོས་གྲུབ,དངོས་གྲུབ,成就,2-2
སྩོལ,སྩོལ,赐予,2-2
ཟབ་གཏེར,ཟབ་གཏེར,深藏,2-3
སྒོ་འབྱེད,སྒོ་འབྱེད,开启,2-3
མཆོག་གྱུར་བདེ་ཆེན་གླིང,མཆོག་གྱུར་བདེ་ཆེན་གླིང,秋吉德千林巴,2-3
བཀའ་བབས་བདུན་ལྡན,བཀའ་བབས་བདུན་ལྡན,具七传承,2-3
རྡོ་རྗེ་གཟི་བརྗིད་རྩལ,རྡོ་རྗེ་གཟི་བརྗིད་རྩལ,多杰息济匝,2-3
རྒྱལ་བསྟན,རྒྱལ་བསྟན,佛法,2-3
གསལ་མཛད,གསལ་མཛད,弘扬,2-3
པདྨ་གར་གྱི་དབང,པདྨ་གར་གྱི་དབང,贝玛噶旺,2-3
གསོལ་བ་འདེབས་སོ,གསོལ་བ་འདེབས་སོ,祈请,2-3
མཆོག་ཐུན,མཆོག་ཐུན,殊胜共,2-3
དངོས་གྲུབ,དངོས་གྲུབ,成就,2-3
སྩོལ,སྩོལ,赐予,2-3
གཞན་ཡང,གཞན་ཡང,复次,2-5
ཟབ་རྒྱས,ཟབ་རྒྱས,深广,2-5
སྨིན་གྲོལ,སྨིན་གྲོལ,成熟解脱,2-5
མཛོད་འཛིན་པའི,མཛོད་འཛིན་པའི,持藏,2-5
རྩ་བརྒྱུད་བླ་མ,རྩ་བརྒྱུད་བླ་མ,根本传承上师,2-5
འཕགས་མ,འཕགས་མ,圣尊,2-5
མྱུར་མཛད་ལྷ,མྱུར་མཛད་ལྷ,速疾天尊,2-5
རྩ་གསུམ,རྩ་གསུམ,三根本,2-5
རྡོ་རྗེའི་ཆོས་སྲུང,རྡོ་རྗེའི་ཆོས་སྲུང,金刚护法,2-5
རྒྱ་མཚོ,རྒྱ་མཚོ,海,2-5
གསོལ་བ་འདེབས་སོ,གསོལ་བ་འདེབས་སོ,祈请,2-5
མཆོག་ཐུན,མཆོག་ཐུན,殊胜共,2-5
དངོས་གྲུབ,དངོས་གྲུབ,成就,2-5
སྩོལ,སྩོལ,赐予,2-5
ངེས་པར་འབྱུང་བས,ངེས་པར་འབྱུང་བས,出离心,2-6
བློ་རྒྱུད་ཞིང་ས,བློ་རྒྱུད་ཞིང་ས,心田之土地,2-6
བརླན,བརླན,润,2-6
ལྷག་བསམ་དག་པས,ལྷག་བསམ་དག་པས,清净意乐,2-6
ལྗོན་འཁྲུངས,ལྗོན་འཁྲུངས,萌芽,2-6
ཚར་དུ,ཚར་དུ,成行,2-6
དངར,དངར,挺立,2-6
ཡེ་ཤེས་ཆེན་པོའི་འབྲས་བུ,ཡེ་ཤེས་ཆེན་པོའི་འབྲས་བུ,大智果实,2-6
གཡུར་ཟ་བས,གཡུར་ཟ་བས,垂挂丰硕,2-6
དོན་གཉིས,དོན་གཉིས,二利,2-6
ལྷུན་གྱིས་གྲུབ་པར,ལྷུན་གྱིས་གྲུབ་པར,任运成就,2-6
མཛད་དུ་གསོལ,མཛད་དུ་གསོལ,祈请成就,2-6
ན་མོ,ན་མོ,南无,4-1
གུ་རུ,གུ་རུ,古鲁,4-1
ཨཱརྻ་ཏཱ་རེ་ཡེ,ཨཱརྻ་ཏཱ་རེ་ཡེ,阿雅塔瑞耶,4-1
ཕྱག་འཚལ་བ,ཕྱག་འཚལ་བ,礼敬,4-34
དང་,དང་,与,4-34
མཆོད་ཅིང,མཆོད་ཅིང,供养,4-34
བཤགས་པ,བཤགས་པ,忏悔,4-34
དང་,དང་,并,4-34
རྗེས་སུ་ཡི་རང,རྗེས་སུ་ཡི་རང,随喜,4-34
བསྐུལ་ཞིང,བསྐུལ་ཞིང,劝请,4-34
གསོལ་བ་ཡི,གསོལ་བ་ཡི,与祈祷,4-34
དགེ་བ,དགེ་བ,善根,4-34
ཅུང་ཟད,ཅུང་ཟད,微,4-34
བདག་གིས,བདག་གིས,我,4-34
ཅི་བསགས་པ,ཅི་བསགས་པ,所积集,4-34
ཐམས་ཅད,ཐམས་ཅད,悉皆,4-34
བདག་གིས,བདག་གིས,我,4-34
བྱང་ཆུབ་ཕྱིར,བྱང་ཆུབ་ཕྱིར,为菩提,4-34
བསྔོའོ,བསྔོའོ,回向,4-34
ཕྱག་འཚལ,ཕྱག་འཚལ,礼敬,4-56
ཏཱ་རེ,ཏཱ་རེ,塔瑞,4-56
མྱུར་མ,མྱུར་མ,速疾,4-56
དཔའ་མོ,དཔའ་མོ,勇,4-56
ཏུཏྟཱ་རེ་ཡིས,ཏུཏྟཱ་རེ་ཡིས,嘟嘟塔瑞,4-56
འཇིགས་པ,འཇིགས་པ,怖畏,4-56
སེལ་མ,སེལ་མ,除,4-56
ཏུ་རེས,ཏུ་རེས,嘟瑞,4-56
དོན་ཀུན,དོན་ཀུན,诸利,4-56
སྦྱིན་པས,སྦྱིན་པས,赐,4-56
སྒྲོལ་མ,སྒྲོལ་མ,度母,4-56
སྭཱ་ཧཱའི་ཡི་གེ,སྭཱ་ཧཱའི་ཡི་གེ,娑婆诃字,4-56
ཁྱོད་ལ,ཁྱོད་ལ,于您,4-56
འདུད་དོ,འདུད་དོ,顶礼,4-56
ཕྱག་འཚལ,ཕྱག་འཚལ,礼敬,4-57
སྒྲོལ་མ,སྒྲོལ་མ,度母,4-57
མྱུར་མ,མྱུར་མ,速疾,4-57
དཔའ་མོ,དཔའ་མོ,勇,4-57
སྤྱན,སྤྱན,双目,4-57
སྐད་ཅིག,སྐད་ཅིག,刹那,4-57
གློག,གློག,闪电,4-57
དང་འདྲ་མ,དང་འདྲ་མ,犹如,4-57
འཇིག་རྟེན་གསུམ་མགོན,འཇིག་རྟེན་གསུམ་མགོན,三界怙主,4-57
ཆུ་སྐྱེས་ཞལ་གྱི,ཆུ་སྐྱེས་ཞལ་གྱི,莲花面,4-57
གེ་སར་བྱེ་བ,གེ་སར་བྱེ་བ,花蕊,4-57
ལས,ལས,从,4-57
བྱུང་མ,བྱུང་མ,化生尊,4-57
ཕྱག་འཚལ,ཕྱག་འཚལ,礼敬,4-58
སྟོན་ཀའི་ཟླ་བ,སྟོན་ཀའི་ཟླ་བ,秋季满月,4-58
ཀུན་ཏུ,ཀུན་ཏུ,时,4-58
གང་བ,གང་བ,满,4-58
བརྒྱ,བརྒྱ,百,4-58
བརྩེགས་པའི,བརྩེགས་པའི,齐聚,4-58
ཞལ་མ,ཞལ་མ,容颜尊,4-58
སྐར་མ,སྐར་མ,星,4-58
སྟོང་ཕྲག,སྟོང་ཕྲག,千,4-58
ཚོགས་པ་རྣམས་ཀྱིས,ཚོགས་པ་རྣམས་ཀྱིས,汇聚,4-58
རབ་ཏུ་ཕྱེ་བའི,རབ་ཏུ་ཕྱེ་བའི,炽然,4-58
འོད་རབ,འོད་རབ,光芒,4-58
འབར་མ,འབར་མ,放光尊,4-58
ཕྱག་འཚལ,ཕྱག་འཚལ,礼敬,4-59
གསེར་སྔོ,གསེར་སྔོ,金蓝,4-59
ཆུ་ནས་སྐྱེས,ཆུ་ནས་སྐྱེས,水生花,4-59
པདྨས,པདྨས,莲花,4-59
ཕྱག,ཕྱག,手,4-59
རྣམ་པར་བརྒྱན་མ,རྣམ་པར་བརྒྱན་མ,严饰尊,4-59
སྦྱིན་པ,སྦྱིན་པ,布施,4-59
བརྩོན་འགྲུས,བརྩོན་འགྲུས,精进,4-59
དཀའ་ཐུབ,དཀའ་ཐུབ,苦行,4-59
ཞི་བ,ཞི་བ,寂静,4-59
བཟོད་པ,བཟོད་པ,忍辱,4-59
བསམ་གཏན,བསམ་གཏན,禅定,4-59
སྤྱོད་ཡུལ་ཉིད་མ,སྤྱོད་ཡུལ་ཉིད་མ,为行境尊,4-59
ཕྱག་འཚལ,ཕྱག་འཚལ,礼敬,4-60
དེ་བཞིན་གཤེགས་པའི,དེ་བཞིན་གཤེགས་པའི,如来,4-60
གཙུག་ཏོར,གཙུག་ཏོར,顶髻尊,4-60
མཐའ་ཡས,མཐའ་ཡས,无量,4-60
རྣམ་པར་རྒྱལ་བ,རྣམ་པར་རྒྱལ་བ,胜,4-60
སྤྱོད་མ,སྤྱོད་མ,修持者,4-60
མ་ལུས,མ་ལུས,无余,4-60
ཕ་རོལ་ཕྱིན་པ,ཕ་རོལ་ཕྱིན་པ,波罗蜜,4-60
ཐོབ་པའི,ཐོབ་པའི,圆满获得,4-60
རྒྱལ་བའི་སྲས་ཀྱིས,རྒྱལ་བའི་སྲས་ཀྱིས,佛子,4-60
ཤིན་ཏུ,ཤིན་ཏུ,极力,4-60
བསྟེན་མ,བསྟེན་མ,所依尊,4-60
ཕྱག་འཚལ,ཕྱག་འཚལ,礼敬,4-61
ཏུཏྟཱ་ར,ཏུཏྟཱ་ར,嘟嘟塔拉,4-61
ཧཱུཾ,ཧཱུཾ,吽,4-61
ཡི་གེས,ཡི་གེས,字,4-61
འདོད,འདོད,欲界,4-61
དང་,དང་,与,4-61
ཕྱོགས,ཕྱོགས,方,4-61
དང་,དང་,与,4-61
ནམ་མཁའ,ནམ་མཁའ,空,4-61
གང་མ,གང་མ,充满尊,4-61
འཇིག་རྟེན་བདུན་པོ,འཇིག་རྟེན་བདུན་པོ,七世间,4-61
ཞབས་ཀྱིས,ཞབས་ཀྱིས,双足,4-61
མནན་ཏེ,མནན་ཏེ,践踏,4-61
ལུས་པ་མེད་པར,ལུས་པ་མེད་པར,无余,4-61
འགུགས་པར,འགུགས་པར,摄伏,4-61
ནུས་མ,ནུས་མ,能尊,4-61
ཕྱག་འཚལ,ཕྱག་འཚལ,礼敬,4-62
བརྒྱ་བྱིན,བརྒྱ་བྱིན,帝释,4-62
མེ་ལྷ,མེ་ལྷ,火神,4-62
ཚངས་པ,ཚངས་པ,梵天,4-62
རླུང་ལྷ,རླུང་ལྷ,风神,4-62
སྣ་ཚོགས་དབང་ཕྱུག,སྣ་ཚོགས་དབང་ཕྱུག,自在,4-62
མཆོད་མ,མཆོད་མ,所供尊,4-62
འབྱུང་པོ,འབྱུང་པོ,部多,4-62
རོ་ལངས,རོ་ལངས,罗刹,4-62
དྲི་ཟ་རྣམས,དྲི་ཟ་རྣམས,寻香众,4-62
དང་,དང་,与,4-62
གནོད་སྦྱིན་ཚོགས་ཀྱིས,གནོད་སྦྱིན་ཚོགས་ཀྱིས,夜叉部众,4-62
མདུན་ནས,མདུན་ནས,前,4-62
བསྟོད་མ,བསྟོད་མ,赞尊,4-62
ཕྱག་འཚལ,ཕྱག་འཚལ,礼敬,4-63
ཏྲཊ,ཏྲཊ,特拉,4-63
ཅེས་བྱ,ཅེས་བྱ,字,4-63
དང་,དང་,与,4-63
ཕཊ,ཕཊ,帕,4-63
ཕ་རོལ,ཕ་རོལ,敌方,4-63
འཕྲུལ་འཁོར,འཕྲུལ་འཁོར,幻轮,4-63
རབ་ཏུ,རབ་ཏུ,极,4-63
འཇོམས་མ,འཇོམས་མ,摧毁尊,4-63
གཡས་བསྐམ,གཡས་བསྐམ,右屈,4-63
གཡོན་བརྐྱང,གཡོན་བརྐྱང,左伸,4-63
ཞབས་ཀྱིས,ཞབས་ཀྱིས,足,4-63
མནན་ཏེ,མནན་ཏེ,践踏,4-63
མེ་འབར,མེ་འབར,炽燃,4-63
འཁྲུག་པ,འཁྲུག་པ,烈火,4-63
ཤིན་ཏུ,ཤིན་ཏུ,极,4-63
འབར་མ,འབར་མ,威猛尊,4-63
ཕྱག་འཚལ,ཕྱག་འཚལ,礼敬,4-64
ཏུ་རེ,ཏུ་རེ,嘟瑞,4-64
འཇིགས་པ་ཆེན་པོས,འཇིགས་པ་ཆེན་པོས,大怖畏,4-64
བདུད་ཀྱི་དཔའ་བོ,བདུད་ཀྱི་དཔའ་བོ,魔众勇士,4-64
རྣམ་པར,རྣམ་པར,极,4-64
འཇོམས་མ,འཇོམས་མ,摧伏尊,4-64
ཆུ་སྐྱེས་ཞལ,ཆུ་སྐྱེས་ཞལ,莲花面容,4-64
ཁྲོ་གཉེར་ལྡན་མཛད,ཁྲོ་གཉེར་ལྡན་མཛད,现忿怒,4-64
